game_id,episode,act,rank,date,agent,map,outcome,round_wins,round_losses,kills,deaths,assists,kdr,avg_dmg_delta,headshot_pct,avg_dmg,acs,num_frag,role
210,6,3,Platinum 3,6/25/2023,Cypher,Split,Win,13,8,10,15,12,0.6666666666666666,-8,19,112,171,5,Sentinel
211,6,3,Platinum 3,6/25/2023,Cypher,Split,Loss,6,13,10,18,3,0.5555555555555556,-34,20,120,166,3,Sentinel
212,6,3,Platinum 3,6/25/2023,Cypher,Bind,Win,13,4,14,7,5,2.0,85,24,155,220,3,Sentinel
213,6,3,Platinum 3,6/25/2023,Cypher,Ascent,Win,13,8,10,11,7,0.9090909090909091,-8,42,73,114,5,Sentinel
214,6,3,Platinum 3,6/25/2023,Cypher,Haven,Loss,6,13,12,14,0,0.8571428571428571,-41,24,94,161,2,Sentinel
215,6,3,Platinum 3,6/25/2023,Cypher,Lotus,Loss,6,13,11,15,3,0.7333333333333333,-45,22,95,170,2,Sentinel
216,6,3,Platinum 3,6/25/2023,Cypher,Bind,Loss,12,14,16,21,3,0.7619047619047619,-32,20,107,166,4,Sentinel
217,6,3,Platinum 3,6/25/2023,Cypher,Split,Win,13,10,17,18,8,0.9444444444444444,-5,12,136,215,3,Sentinel
218,6,3,Platinum 3,6/25/2023,Cypher,Fracture,Win,13,11,17,14,5,1.2142857142857142,25,23,136,190,4,Sentinel
219,6,3,Platinum 3,6/25/2023,Cypher,Pearl,Win,13,4,14,6,6,2.3333333333333335,62,16,141,203,3,Sentinel
220,6,3,Platinum 3,6/25/2023,Cypher,Ascent,Loss,11,13,16,17,2,0.9411764705882353,-25,12,100,162,4,Sentinel
221,6,3,Platinum 3,6/26/2023,Cypher,Bind,Loss,10,13,13,19,7,0.6842105263157895,-20,12,120,179,5,Sentinel
222,6,3,Platinum 3,6/26/2023,Cypher,Split,Win,13,10,17,17,2,1.0,-9,10,122,195,3,Sentinel
223,6,3,Diamond 1,6/26/2023,Cypher,Split,Win,13,10,13,16,7,0.8125,-14,12,110,169,4,Sentinel
224,6,3,Placement,6/26/2023,Cypher,Bind,Win,13,11,14,15,8,0.9333333333333333,-8,15,103,172,4,Sentinel
225,7,1,Placement,6/27/2023,Killjoy,Fracture,Loss,11,13,18,16,3,1.125,-22,8,113,180,2,Sentinel
226,7,1,Placement,6/27/2023,Killjoy,Ascent,Loss,10,13,16,18,5,0.8888888888888888,5,16,129,192,4,Sentinel
227,7,1,Placement,6/30/2023,Killjoy,Haven,Win,13,11,21,16,5,1.3125,24,30,165,256,2,Sentinel
228,7,1,Gold 2,6/30/2023,Killjoy,Fracture,Win,11,2,12,7,5,1.7142857142857142,82,18,199,297,3,Sentinel
229,7,1,Gold 2,6/30/2023,Killjoy,Split,Loss,6,13,17,13,2,1.3076923076923077,38,37,162,258,1,Sentinel
230,7,1,Gold 2,6/30/2023,Killjoy,Pearl,Win,14,12,14,22,5,0.6363636363636364,-23,30,116,168,4,Sentinel
231,7,1,Gold 2,6/30/2023,Killjoy,Ascent,Loss,4,13,19,15,3,1.2666666666666666,61,20,229,349,1,Sentinel
232,7,1,Gold 2,7/5/2023,Killjoy,Haven,Loss,5,13,10,15,4,0.6666666666666666,-7,11,125,170,3,Sentinel
233,7,1,Gold 2,7/5/2023,Cypher,Fracture,Loss,8,13,12,13,3,0.9230769230769231,-8,21,106,146,4,Sentinel
234,7,1,Gold 2,7/5/2023,Cypher,Bind,Win,13,10,20,16,7,1.25,29,22,167,241,4,Sentinel
235,7,1,Gold 2,7/5/2023,Cypher,Lotus,Win,13,11,16,15,7,1.0666666666666667,26,27,134,189,4,Sentinel
236,7,1,Gold 3,7/6/2023,Cypher,Fracture,Win,13,3,10,6,2,1.6666666666666667,35,23,100,145,5,Sentinel
237,7,1,Gold 3,7/6/2023,Killjoy,Split,Win,13,11,20,17,6,1.1764705882352942,24,7,151,235,2,Sentinel
238,7,1,Gold 3,7/6/2023,Killjoy,Ascent,Loss,6,13,14,15,2,0.9333333333333333,-17,15,144,211,2,Sentinel
239,7,1,Gold 3,7/6/2023,Cypher,Bind,Loss,10,13,26,16,6,1.625,53,23,182,306,1,Sentinel
240,7,1,Gold 3,7/6/2023,Killjoy,Haven,Win,13,8,12,16,6,0.75,1,11,130,188,5,Sentinel
241,7,1,Gold 3,7/7/2023,Killjoy,Fracture,Loss,10,13,14,17,7,0.8235294117647058,17,13,135,187,4,Sentinel
242,7,1,Gold 3,7/7/2023,Killjoy,Split,Win,13,6,14,12,7,1.1666666666666667,37,20,168,232,4,Sentinel
243,7,1,Gold 3,7/7/2023,Cypher,Lotus,Win,13,10,12,15,10,0.8,0,28,113,159,5,Sentinel
244,7,1,Gold 3,7/7/2023,Killjoy,Fracture,Loss,7,13,9,16,4,0.5625,-38,9,109,152,5,Sentinel
245,7,1,Gold 3,7/7/2023,Killjoy,Haven,Win,13,6,15,13,3,1.1538461538461537,19,21,158,239,3,Sentinel
246,7,1,Gold 3,7/8/2023,Killjoy,Ascent,Loss,8,13,16,17,2,0.9411764705882353,-13,9,126,200,3,Sentinel
247,7,1,Gold 3,7/8/2023,Killjoy,Split,Loss,10,13,22,14,3,1.5714285714285714,53,18,173,269,2,Sentinel
248,7,1,Gold 3,7/8/2023,Cypher,Lotus,Loss,12,14,14,18,3,0.7777777777777778,-18,29,98,147,5,Sentinel
249,7,1,Gold 3,7/9/2023,Killjoy,Pearl,Loss,6,13,18,14,7,1.2857142857142858,39,21,169,264,1,Sentinel
250,7,1,Gold 3,7/9/2023,Killjoy,Split,Win,13,6,22,7,0,3.142857142857143,93,16,181,273,1,Sentinel
251,7,1,Gold 3,7/9/2023,Cypher,Fracture,Win,13,11,11,19,7,0.5789473684210527,-46,18,95,140,4,Sentinel
252,7,1,Gold 3,7/9/2023,Killjoy,Haven,Win,13,11,20,15,4,1.3333333333333333,24,21,155,238,2,Sentinel
253,7,1,Gold 3,7/9/2023,Killjoy,Ascent,Loss,6,13,7,17,1,0.4117647058823529,-75,4,78,121,4,Sentinel
254,7,1,Gold 3,7/10/2023,Cypher,Lotus,Win,13,5,8,8,8,1.0,-14,17,93,131,5,Sentinel
255,7,1,Platinum 1,7/10/2023,Cypher,Lotus,Loss,11,13,23,14,7,1.6428571428571428,51,20,166,272,1,Sentinel
256,7,1,Platinum 1,7/10/2023,Cypher,Fracture,Win,13,2,11,9,6,1.2222222222222223,42,15,163,235,4,Sentinel
257,7,1,Platinum 1,7/12/2023,Killjoy,Split,Win,13,10,25,12,4,2.0833333333333335,87,17,180,292,1,Sentinel
258,7,1,Platinum 1,7/12/2023,Killjoy,Haven,Win,13,7,18,10,5,1.8,53,15,148,225,2,Sentinel
259,7,1,Platinum 1,7/12/2023,Cypher,Bind,Loss,9,13,13,17,1,0.7647058823529411,-38,17,104,161,4,Sentinel
260,7,1,Platinum 1,7/12/2023,Killjoy,Pearl,Win,13,10,24,13,9,1.8461538461538463,71,8,184,307,1,Sentinel
261,7,1,Platinum 1,7/13/2023,Killjoy,Split,Win,13,10,18,12,3,1.5,43,22,127,198,2,Sentinel
262,7,1,Platinum 1,7/13/2023,Killjoy,Haven,Loss,2,13,7,14,1,0.5,-63,11,93,152,3,Sentinel
263,7,1,Platinum 1,7/13/2023,Cypher,Fracture,Loss,8,13,18,16,5,1.125,12,16,176,258,1,Sentinel
264,7,1,Platinum 1,7/14/2023,Killjoy,Haven,Loss,10,13,14,17,7,0.8235294117647058,2,11,135,196,4,Sentinel
265,7,1,Platinum 1,7/14/2023,Cypher,Bind,Loss,6,13,9,15,1,0.6,-51,21,77,128,5,Sentinel
266,7,1,Platinum 1,7/14/2023,Killjoy,Pearl,Loss,12,14,17,19,5,0.8947368421052632,-21,20,127,193,3,Sentinel
267,7,1,Platinum 1,7/14/2023,Killjoy,Split,Win,13,8,14,13,0,1.0769230769230769,7,11,117,171,3,Sentinel
268,7,1,Platinum 1,7/14/2023,Cypher,Fracture,Loss,6,13,14,15,3,0.9333333333333333,-1,28,145,209,3,Sentinel
269,7,1,Platinum 1,7/14/2023,Killjoy,Ascent,Loss,9,13,9,18,2,0.5,-73,12,95,144,5,Sentinel
270,7,1,Platinum 1,7/14/2023,Cypher,Fracture,Win,13,10,18,16,6,1.125,12,18,148,224,2,Sentinel
271,7,1,Gold 3,7/14/2023,Cypher,Lotus,Loss,5,13,7,16,4,0.4375,-48,14,103,136,5,Sentinel
272,7,1,Gold 3,7/14/2023,Cypher,Lotus,Loss,10,13,19,18,7,1.0555555555555556,17,16,156,231,3,Sentinel
273,7,1,Gold 3,7/15/2023,Killjoy,Haven,Loss,10,13,13,17,2,0.7647058823529411,-30,24,103,159,4,Sentinel
274,7,1,Gold 3,7/15/2023,Cypher,Fracture,Loss,14,16,17,22,6,0.7727272727272727,-14,21,125,175,4,Sentinel
275,7,1,Gold 3,7/16/2023,Killjoy,Ascent,Win,13,4,13,7,5,1.8571428571428572,31,21,119,193,3,Sentinel
276,7,1,Gold 3,7/16/2023,Killjoy,Pearl,Loss,12,14,18,19,7,0.9473684210526315,32,13,157,229,3,Sentinel
277,7,1,Gold 3,7/16/2023,Killjoy,Pearl,Win,13,10,19,11,3,1.7272727272727273,63,16,153,241,1,Sentinel
278,7,1,Gold 3,7/16/2023,Killjoy,Haven,Loss,4,13,7,14,0,0.5,-56,25,81,117,4,Sentinel
279,7,1,Platinum 1,7/17/2023,Killjoy,Ascent,Win,13,9,6,17,1,0.35294117647058826,-77,19,60,80,5,Sentinel
280,7,1,Platinum 1,7/17/2023,Cypher,Lotus,Win,13,7,19,11,4,1.7272727272727273,39,34,153,229,2,Sentinel
281,7,1,Platinum 1,7/17/2023,Cypher,Lotus,Win,13,8,18,12,7,1.5,16,25,156,231,3,Sentinel
282,7,1,Platinum 1,7/17/2023,Cypher,Fracture,Win,14,12,17,16,6,1.0625,27,19,129,204,5,Sentinel
283,7,1,Platinum 1,7/17/2023,Cypher,Fracture,Loss,8,13,12,15,5,0.8,-1,17,128,184,4,Sentinel
284,7,1,Platinum 1,7/17/2023,Cypher,Bind,Win,13,3,12,9,5,1.3333333333333333,10,20,130,210,4,Sentinel
285,7,1,Platinum 1,7/17/2023,Killjoy,Pearl,Win,13,5,17,7,3,2.4285714285714284,67,15,152,240,2,Sentinel
286,7,1,Platinum 1,7/17/2023,Killjoy,Split,Loss,2,13,6,14,0,0.42857142857142855,-24,20,124,156,2,Sentinel
287,7,1,Platinum 1,7/18/2023,Killjoy,Haven,Loss,6,13,8,17,1,0.47058823529411764,-38,27,112,145,4,Sentinel
288,7,1,Platinum 1,7/18/2023,Cypher,Fracture,Win,13,3,8,7,4,1.1428571428571428,-9,23,81,128,5,Sentinel
289,7,1,Platinum 2,7/18/2023,Cypher,Pearl,Win,13,7,19,12,6,1.5833333333333333,55,31,180,264,2,Sentinel
290,7,1,Platinum 2,7/18/2023,Cypher,Fracture,Win,13,2,13,6,3,2.1666666666666665,72,17,142,224,3,Sentinel
291,7,1,Platinum 2,7/19/2023,Killjoy,Haven,Loss,9,13,18,16,4,1.125,35,26,168,226,3,Sentinel
292,7,1,Platinum 2,7/19/2023,Cypher,Bind,Win,13,7,12,11,6,1.0909090909090908,22,30,118,177,4,Sentinel
293,7,1,Platinum 2,7/19/2023,Killjoy,Pearl,Loss,5,13,9,16,4,0.5625,-35,10,118,172,5,Sentinel
294,7,1,Platinum 2,7/19/2023,Killjoy,Haven,Win,13,6,22,9,6,2.4444444444444446,98,18,190,330,1,Sentinel
295,7,1,Platinum 2,7/19/2023,Cypher,Lotus,Loss,11,13,19,17,8,1.1176470588235294,55,17,185,250,2,Sentinel
296,7,1,Platinum 2,7/20/2023,Cypher,Bind,Win,15,13,18,19,8,0.9473684210526315,15,21,147,206,3,Sentinel
297,7,1,Platinum 2,7/20/2023,Brimstone,Ascent,Win,16,14,30,20,15,1.5,23,14,148,247,2,Controller
298,7,1,Platinum 2,7/20/2023,Killjoy,Ascent,Loss,11,13,13,16,4,0.8125,-23,22,101,154,5,Sentinel
299,7,1,Platinum 2,7/20/2023,Cypher,Fracture,Win,13,7,22,13,12,1.6923076923076923,70,25,196,308,1,Sentinel
300,7,1,Platinum 3,7/20/2023,Cypher,Lotus,Win,13,4,14,9,3,1.5555555555555556,3,25,196,308,2,Sentinel
301,7,1,Platinum 3,7/20/2023,Killjoy,Haven,Win,17,15,28,20,3,1.4,37,11,152,241,2,Sentinel
302,7,1,Platinum 2,7/22/2023,Cypher,Lotus,Loss,7,13,10,18,6,0.5555555555555556,-85,16,79,137,1,Sentinel
303,7,1,Platinum 2,7/22/2023,Cypher,Bind,Loss,11,13,19,16,3,1.1875,18,23,133,200,3,Sentinel
304,7,1,Platinum 3,7/22/2023,Cypher,Fracture,Win,15,13,16,20,5,0.8,-18,13,118,183,5,Sentinel
305,7,1,Platinum 3,7/22/2023,Killjoy,Split,Win,13,2,18,7,6,2.5714285714285716,94,10,221,344,2,Sentinel
306,7,1,Platinum 3,7/23/2023,Killjoy,Pearl,Loss,10,13,11,18,4,0.6111111111111112,-13,10,113,162,5,Sentinel
307,7,1,Platinum 3,7/23/2023,Cypher,Fracture,Loss,9,13,13,16,6,0.8125,-2,17,119,172,4,Sentinel
308,7,1,Platinum 3,7/23/2023,Cypher,Bind,Draw,14,14,16,20,6,0.8,-37,13,100,154,5,Sentinel
309,7,1,Platinum 3,7/24/2023,Killjoy,Split,Win,13,3,6,11,4,0.5454545454545454,-46,3,76,109,5,Sentinel
310,7,1,Platinum 3,7/24/2023,Cypher,Lotus,Win,13,11,19,15,4,1.2666666666666666,6,13,118,208,3,Sentinel
311,7,1,Platinum 3,7/24/2023,Killjoy,Haven,Loss,9,13,18,15,4,1.2,-11,15,123,206,2,Sentinel
312,7,1,Platinum 3,7/24/2023,Killjoy,Pearl,Win,13,6,3,12,8,0.25,-60,10,55,74,5,Sentinel
313,7,1,Platinum 3,7/25/2023,Cypher,Fracture,Loss,14,16,20,25,10,0.8,-16,25,137,196,1,Sentinel
314,7,1,Platinum 3,7/25/2023,Killjoy,Pearl,Win,13,10,20,12,1,1.6666666666666667,61,19,153,239,3,Sentinel
315,7,1,Platinum 3,7/25/2023,Cypher,Bind,Win,13,8,10,14,7,0.7142857142857143,-9,12,108,155,5,Sentinel
316,7,1,Platinum 3,7/26/2023,Cypher,Bind,Win,13,6,14,12,6,1.1666666666666667,44,15,144,215,4,Sentinel
317,7,1,Platinum 3,7/26/2023,Killjoy,Ascent,Loss,4,13,6,14,1,0.42857142857142855,-62,10,80,119,5,Sentinel
318,7,1,Platinum 3,7/26/2023,Killjoy,Ascent,Loss,3,13,6,14,4,0.42857142857142855,-44,23,88,135,5,Sentinel
319,7,1,Platinum 3,7/26/2023,Killjoy,Split,Loss,13,15,21,18,2,1.1666666666666667,13,17,137,201,2,Sentinel
320,7,1,Platinum 3,7/27/2023,Killjoy,Pearl,Win,13,6,20,12,3,1.6666666666666667,47,12,176,266,1,Sentinel
321,7,1,Platinum 3,7/27/2023,Cypher,Lotus,Win,13,9,12,16,7,0.75,-37,19,81,141,5,Sentinel
322,7,1,Platinum 3,7/27/2023,Cypher,Bind,Win,13,11,16,14,3,1.1428571428571428,12,19,115,184,5,Sentinel
323,7,1,Platinum 3,7/27/2023,Killjoy,Pearl,Loss,7,13,14,14,2,1.0,20,16,148,225,2,Sentinel
324,7,1,Platinum 3,7/27/2023,Cypher,Fracture,Loss,8,13,10,17,8,0.5882352941176471,17,27,142,192,3,Sentinel
325,7,1,Platinum 3,7/28/2023,Cypher,Lotus,Win,13,11,23,16,6,1.4375,61,23,174,269,1,Sentinel
326,7,1,Platinum 3,7/28/2023,Killjoy,Haven,Win,13,3,16,5,4,3.2,115,34,183,260,2,Sentinel
327,7,1,Platinum 3,7/28/2023,Killjoy,Split,Loss,6,13,14,14,2,1.0,-1,34,145,198,2,Sentinel
328,7,1,Platinum 3,7/29/2023,Killjoy,Split,Win,13,10,18,11,3,1.6363636363636365,42,16,140,218,4,Sentinel
329,7,1,Platinum 3,7/29/2023,Killjoy,Haven,Loss,9,13,8,18,5,0.4444444444444444,-39,19,107,143,5,Sentinel
330,7,1,Platinum 3,7/29/2023,Cypher,Fracture,Win,13,8,15,11,9,1.3636363636363635,31,16,150,213,4,Sentinel
331,7,1,Platinum 3,7/29/2023,Cypher,Fracture,Loss,13,15,25,19,5,1.3157894736842106,19,27,157,233,1,Sentinel
332,7,1,Platinum 3,7/29/2023,Killjoy,Haven,Loss,7,13,21,15,0,1.4,37,19,171,286,1,Sentinel
333,7,1,Platinum 3,7/30/2023,Cypher,Bind,Win,13,10,16,16,5,1.0,-1,21,121,188,3,Sentinel
334,7,1,Platinum 3,7/30/2023,Cypher,Lotus,Loss,8,13,7,13,3,0.5384615384615384,-39,14,65,97,5,Sentinel
335,7,1,Platinum 3,7/30/2023,Killjoy,Ascent,Win,13,9,20,13,6,1.5384615384615385,63,18,181,268,2,Sentinel
336,7,1,Platinum 3,7/30/2023,Cypher,Lotus,Win,13,11,11,18,9,0.6111111111111112,-34,17,99,147,5,Sentinel
337,7,1,Platinum 3,7/30/2023,Killjoy,Pearl,Loss,13,15,8,22,1,0.36363636363636365,-59,20,78,105,5,Sentinel
338,7,1,Diamond 1,7/31/2023,Cypher,Pearl,Win,9,4,10,8,1,1.25,5,27,117,189,3,Sentinel
339,7,1,Diamond 1,7/31/2023,Cypher,Fracture,Win,13,3,12,9,5,1.3333333333333333,20,22,124,219,3,Sentinel
340,7,1,Diamond 1,7/31/2023,Killjoy,Haven,Loss,13,15,23,19,6,1.2105263157894737,-8,11,123,208,1,Sentinel
341,7,1,Diamond 1,8/2/2023,Cypher,Bind,Win,15,13,20,17,3,1.1764705882352942,37,25,140,204,3,Sentinel
342,7,1,Diamond 1,8/2/2023,Cypher,Lotus,Win,13,5,17,8,8,2.125,52,26,140,234,2,Sentinel
343,7,1,Diamond 1,8/3/2023,Killjoy,Pearl,Loss,7,13,10,15,3,0.6666666666666666,-43,10,91,141,4,Sentinel
344,7,1,Diamond 1,8/3/2023,Killjoy,Ascent,Loss,10,13,6,18,3,0.3333333333333333,-61,10,73,96,5,Sentinel
345,7,1,Diamond 1,8/3/2023,Cypher,Fracture,Win,13,2,11,9,9,1.2222222222222223,10,22,128,193,4,Sentinel
346,7,1,Diamond 1,8/3/2023,Cypher,Bind,Win,13,8,13,11,6,1.1818181818181819,-3,24,96,146,4,Sentinel
347,7,1,Diamond 1,8/19/2023,Cypher,Lotus,Loss,11,13,16,17,7,0.9411764705882353,22,36,147,201,3,Sentinel
348,7,1,Diamond 1,8/19/2023,Cypher,Lotus,Win,13,4,14,10,5,1.4,30,24,141,231,3,Sentinel
349,7,1,Diamond 1,8/19/2023,Killjoy,Ascent,Loss,3,13,11,14,2,0.7857142857142857,4,12,144,216,1,Sentinel
350,7,1,Diamond 1,8/19/2023,Cypher,Bind,Win,13,9,19,13,5,1.4615384615384615,39,22,142,236,2,Sentinel
351,7,1,Diamond 1,8/19/2023,Killjoy,Split,Loss,11,13,16,15,2,1.0666666666666667,2,18,125,179,4,Sentinel
352,7,1,Diamond 1,8/19/2023,Killjoy,Pearl,Win,14,12,22,21,5,1.0476190476190477,13,15,157,250,2,Sentinel
353,7,1,Diamond 1,8/19/2023,Killjoy,Ascent,Win,13,11,18,14,5,1.2857142857142858,32,28,144,214,3,Sentinel
354,7,1,Diamond 1,8/19/2023,Cypher,Fracture,Win,13,9,18,15,4,1.2,21,16,150,235,2,Sentinel
355,7,1,Diamond 1,8/20/2023,Killjoy,Haven,Loss,11,13,21,19,5,1.105263157894737,-2,13,158,245,2,Sentinel
356,7,1,Diamond 1,8/20/2023,Cypher,Lotus,Win,13,10,16,13,5,1.2307692307692308,33,25,128,184,4,Sentinel
357,7,1,Diamond 1,8/20/2023,Killjoy,Pearl,Loss,5,13,11,16,3,0.6875,-13,10,128,185,2,Sentinel
358,7,1,Diamond 1,8/20/2023,Cypher,Bind,Loss,5,13,13,15,5,0.8666666666666667,-15,24,132,203,3,Sentinel
359,7,1,Diamond 1,8/20/2023,Cypher,Lotus,Win,13,4,18,5,3,3.6,91,35,167,252,2,Sentinel
360,7,1,Diamond 1,8/21/2023,Cypher,Fracture,Loss,6,13,16,16,3,1.0,9,19,164,248,2,Sentinel
361,7,1,Diamond 1,8/21/2023,Killjoy,Pearl,Loss,6,13,13,16,3,0.8125,-9,18,151,216,2,Sentinel
362,7,1,Diamond 1,8/21/2023,Killjoy,Haven,Loss,12,14,13,16,6,0.8125,-17,14,113,165,5,Sentinel
363,7,1,Diamond 1,8/21/2023,Killjoy,Ascent,Win,13,4,9,10,3,0.9,-17,6,100,145,5,Sentinel
364,7,1,Diamond 1,8/22/2023,Killjoy,Ascent,Win,13,10,14,13,3,1.0769230769230769,-2,23,109,163,5,Sentinel
365,7,1,Diamond 1,8/22/2023,Cypher,Bind,Loss,10,13,20,17,2,1.1764705882352942,8,29,135,233,1,Sentinel
366,7,1,Diamond 1,8/22/2023,Cypher,Lotus,Win,13,8,18,13,2,1.3846153846153846,30,25,145,224,3,Sentinel
367,7,1,Diamond 1,8/22/2023,Killjoy,Haven,Win,13,8,23,11,2,2.090909090909091,70,32,169,276,1,Sentinel
368,7,1,Diamond 1,8/22/2023,Killjoy,Haven,Loss,7,13,10,17,5,0.5882352941176471,-25,15,118,159,4,Sentinel
369,7,1,Diamond 1,8/23/2023,Killjoy,Split,Win,13,4,6,10,2,0.6,-31,11,72,104,5,Sentinel
370,7,1,Diamond 1,8/23/2023,Cypher,Lotus,Win,13,6,12,13,4,0.9230769230769231,-2,20,132,196,4,Sentinel
371,7,1,Diamond 1,8/23/2023,Killjoy,Ascent,Loss,4,13,12,16,4,0.75,-5,17,148,220,3,Sentinel
372,7,1,Diamond 1,8/23/2023,Killjoy,Split,Loss,13,15,14,18,6,0.7777777777777778,-42,10,92,143,5,Sentinel
373,7,1,Diamond 1,8/23/2023,Cypher,Lotus,Loss,6,13,14,17,2,0.8235294117647058,-58,29,113,197,3,Sentinel
374,7,1,Diamond 1,8/23/2023,Cypher,Fracture,Loss,12,14,15,19,11,0.7894736842105263,-10,12,130,193,4,Sentinel
375,7,1,Diamond 1,8/23/2023,Killjoy,Split,Loss,12,14,18,16,3,1.125,24,20,133,179,2,Sentinel
376,7,1,Diamond 1,8/23/2023,Killjoy,Haven,Loss,4,13,13,17,2,0.7647058823529411,-27,10,147,244,2,Sentinel
377,7,1,Diamond 1,8/23/2023,Killjoy,Pearl,Win,13,8,18,12,3,1.5,66,20,165,240,2,Sentinel
378,7,1,Platinum 3,8/24/2023,Killjoy,Ascent,Loss,6,13,9,13,2,0.6923076923076923,-6,25,109,143,4,Sentinel
379,7,1,Platinum 3,8/24/2023,Cypher,Bind,Loss,13,15,17,17,5,1.0,-16,22,107,162,4,Sentinel
380,7,1,Platinum 3,8/24/2023,Cypher,Bind,Loss,8,13,15,15,1,1.0,0,54,117,194,2,Sentinel
381,7,1,Diamond 1,8/24/2023,Cypher,Lotus,Win,13,8,16,8,4,2.0,54,32,146,216,2,Sentinel
382,7,1,Diamond 1,8/24/2023,Killjoy,Pearl,Win,13,6,16,14,4,1.1428571428571428,18,32,156,220,3,Sentinel
383,7,1,Diamond 1,8/28/2023,Killjoy,Ascent,Win,13,7,18,12,0,1.5,52,22,164,231,3,Sentinel
384,7,1,Diamond 1,8/28/2023,Killjoy,Ascent,Win,13,8,15,12,4,1.25,6,14,119,175,3,Sentinel
385,7,1,Placement,8/28/2023,Killjoy,Split,Loss,9,13,19,18,10,1.0555555555555556,41,18,171,269,2,Sentinel
386,7,2,Diamond 1,8/30/2023,Cypher,Lotus,Loss,11,13,13,17,3,0.7647058823529411,-27,29,97,142,5,Sentinel
387,7,2,Diamond 1,8/30/2023,Killjoy,Haven,Win,13,5,17,9,4,1.8888888888888888,100,20,205,274,3,Sentinel
388,7,2,Diamond 1,8/31/2023,Cypher,Lotus,Loss,4,13,6,14,1,0.42857142857142855,-77,24,74,112,5,Sentinel
389,7,2,Diamond 1,8/31/2023,Killjoy,Split,Win,13,3,14,8,4,1.75,70,19,159,227,3,Sentinel
390,7,2,Diamond 1,8/31/2023,Killjoy,Breeze,Loss,9,13,12,18,7,0.6666666666666666,-17,20,133,177,4,Sentinel
391,7,2,Platinum 3,8/31/2023,Cypher,Bind,Loss,9,13,10,16,4,0.625,-71,19,64,109,4,Sentinel
392,7,2,Diamond 1,9/1/2023,Killjoy,Breeze,Loss,8,13,17,15,3,1.1333333333333333,51,19,182,248,2,Sentinel
393,7,2,Diamond 1,9/1/2023,Cypher,Lotus,Win,13,9,13,16,8,0.8125,-19,22,113,174,4,Sentinel
394,7,2,Diamond 1,9/1/2023,Cypher,Lotus,Win,13,1,8,3,5,2.6666666666666665,39,9,98,140,4,Sentinel
395,7,2,Diamond 1,9/1/2023,Cypher,Bind,Loss,12,14,13,20,7,0.65,-40,18,114,157,5,Sentinel
396,7,2,Platinum 3,9/7/2023,Killjoy,Ascent,Loss,8,13,17,15,4,1.1333333333333333,6,12,130,227,1,Sentinel
397,7,2,Platinum 3,9/8/2023,Cypher,Sunset,Loss,3,13,5,14,2,0.35714285714285715,-37,25,91,107,5,Sentinel
398,7,2,Diamond 1,9/8/2023,Killjoy,Haven,Win,13,4,7,9,1,0.7777777777777778,-29,22,67,118,5,Sentinel
399,7,2,Diamond 1,9/8/2023,Cypher,Lotus,Win,13,7,24,10,2,2.4,82,26,189,319,1,Sentinel
400,7,2,Diamond 1,9/8/2023,Killjoy,Haven,Loss,10,13,19,14,0,1.3571428571428572,33,20,153,218,2,Sentinel
401,7,2,Diamond 1,9/8/2023,Cypher,Sunset,Win,15,13,20,17,8,1.1764705882352942,12,15,130,198,3,Sentinel
402,7,2,Diamond 1,9/8/2023,Cypher,Bind,Draw,14,14,19,21,11,0.9047619047619048,-7,16,132,207,3,Sentinel
403,7,2,Diamond 1,9/8/2023,Killjoy,Ascent,Win,13,7,13,13,7,1.0,3,28,116,189,5,Sentinel
404,7,2,Diamond 1,9/8/2023,Cypher,Sunset,Loss,9,13,11,19,5,0.5789473684210527,-59,9,104,162,4,Sentinel
405,7,2,Platinum 3,9/8/2023,Killjoy,Split,Loss,4,13,8,15,2,0.5333333333333333,-25,20,111,164,3,Sentinel
406,7,2,Platinum 3,9/8/2023,Cypher,Lotus,Loss,5,13,9,15,1,0.6,-13,24,121,166,2,Sentinel
407,7,2,Platinum 3,9/9/2023,Killjoy,Ascent,Loss,9,13,16,15,1,1.0666666666666667,22,38,151,192,3,Sentinel
408,7,2,Platinum 3,9/9/2023,Cypher,Sunset,Loss,10,13,17,16,5,1.0625,-23,33,105,183,3,Sentinel
409,7,2,Platinum 3,9/9/2023,Cypher,Bind,Win,13,4,11,9,2,1.2222222222222223,5,25,101,145,5,Sentinel
410,7,2,Platinum 3,9/9/2023,Killjoy,Haven,Loss,10,13,14,18,4,0.7777777777777778,-14,10,126,192,3,Sentinel
411,7,2,Platinum 3,9/10/2023,Cypher,Bind,Loss,5,13,12,13,1,0.9230769230769231,1,30,135,212,3,Sentinel
412,7,2,Platinum 3,9/10/2023,Killjoy,Split,Win,13,8,24,10,6,2.4,117,23,216,325,1,Sentinel
413,7,2,Platinum 3,9/10/2023,Killjoy,Split,Loss,9,13,17,18,6,0.9444444444444444,6,12,156,245,1,Sentinel
414,7,2,Platinum 3,9/10/2023,Cypher,Breeze,Loss,6,13,17,16,4,1.0625,-14,16,144,244,1,Sentinel
415,7,2,Platinum 3,9/10/2023,Cypher,Sunset,Win,13,3,14,8,5,1.75,84,32,186,252,3,Sentinel
416,7,2,Platinum 3,9/10/2023,Killjoy,Haven,Loss,11,13,26,18,6,1.4444444444444444,84,28,216,320,1,Sentinel
